fold	temporal_scene	eval_start	eval_end	train_samples	eval_samples	capacity	best_epoch	best_eval_loss	best_eval_mae	best_eval_rmse	best_eval_mae_pct_mean	best_eval_rmse_pct_mean	best_eval_nmae_capacity_pct	best_eval_nrmse_capacity_pct	best_eval_mape_1000_pct	best_eval_mape_10pct_capacity_pct	best_eval_mean_y_abs	baseline_mae	baseline_rmse	baseline_mae_pct_mean	baseline_rmse_pct_mean	baseline_nmae_capacity_pct	baseline_nrmse_capacity_pct	baseline_mape_1000_pct	baseline_mape_10pct_capacity_pct	model_out	predictions_out	plot_out
1	fold_01	2025-06-02 06:40:00	2025-06-20 07:10:00	20761.0	5191.0	30134.654296875	31.0	0.005145003428609494	1413.8349609375	2394.1641547730183	14.976476527215437	25.36091146203008	4.691724507634775	7.944886744631732	22.059207916259766	15.760705947875977	9440.37109375	9424.0341796875	10804.482773367728	99.82694627255367	114.44976755755754	31.273078784463717	35.85401268229636	91.59883117675781	56.19467544555664	fold_01_best_lstm_tabular_same_samples_as_multimodal_no_autoreg.pt	fold_01_eval_predictions_lstm_tabular_same_samples_as_multimodal_no_autoreg.tsv	fold_01_eval_timeline_lstm_tabular_same_samples_as_multimodal_no_autoreg.png
2	fold_02	2025-06-20 07:15:00	2025-07-08 07:45:00	20761.0	5191.0	30134.654296875	39.0	0.0052782060459131905	1427.3558349609375	2424.9582470632354	15.154890723649237	25.746892501168833	4.736592697892526	8.047075049122785	24.454084396362305	19.0108699798584	9418.4501953125	9385.515625	10751.152868413694	99.65031858076935	114.14991474674328	31.145257325793477	35.6770406671916	86.74478149414062	55.940521240234375	fold_02_best_lstm_tabular_same_samples_as_multimodal_no_autoreg.pt	fold_02_eval_predictions_lstm_tabular_same_samples_as_multimodal_no_autoreg.tsv	fold_02_eval_timeline_lstm_tabular_same_samples_as_multimodal_no_autoreg.png
3	fold_03	2025-07-08 07:50:00	2025-07-26 08:15:00	20762.0	5190.0	30134.654296875	27.0	0.004936596970304915	1455.40576171875	2345.1732345394016	15.339173120620378	24.716830995613957	4.829674657557553	7.782313383905648	21.179662704467773	17.100099563598633	9488.1630859375	9505.591796875	10895.407840003054	100.18368898995139	114.83158269224151	31.54372272941834	36.1557419330771	85.96871185302734	56.98282241821289	fold_03_best_lstm_tabular_same_samples_as_multimodal_no_autoreg.pt	fold_03_eval_predictions_lstm_tabular_same_samples_as_multimodal_no_autoreg.tsv	fold_03_eval_timeline_lstm_tabular_same_samples_as_multimodal_no_autoreg.png
4	fold_04	2025-07-26 08:20:00	2025-08-13 08:45:00	20762.0	5190.0	30134.654296875	5.0	0.004357081168987416	1228.4603271484375	2125.3832595557915	18.08529592067645	31.28972449858676	4.076570167509207	7.052953847146659	23.81434440612793	20.766399383544922	6792.591796875	8011.03662109375	8649.382405698108	117.93784847750321	127.33552470615625	26.58413314508972	28.70244443652058	96.61072540283203	52.38119888305664	fold_04_best_lstm_tabular_same_samples_as_multimodal_no_autoreg.pt	fold_04_eval_predictions_lstm_tabular_same_samples_as_multimodal_no_autoreg.tsv	fold_04_eval_timeline_lstm_tabular_same_samples_as_multimodal_no_autoreg.png
5	fold_05	2025-08-13 08:50:00	2025-08-31 09:15:00	20762.0	5190.0	30134.654296875	1.0	0.005513531845656263	1639.84619140625	2478.426315225046	21.396052095333847	32.337507525341	5.441728898732726	8.22450555034926	28.314271926879883	24.849355697631836	7664.24658203125	8852.162109375	9778.112701334547	115.49944296062715	127.58087304053127	29.37535643238814	32.448066617935446	84.96599578857422	55.06614303588867	fold_05_best_lstm_tabular_same_samples_as_multimodal_no_autoreg.pt	fold_05_eval_predictions_lstm_tabular_same_samples_as_multimodal_no_autoreg.tsv	fold_05_eval_timeline_lstm_tabular_same_samples_as_multimodal_no_autoreg.png
mean	mean			20761.6	5190.4	30134.654296875	20.6		1432.980615234375	2353.621042231299	16.99037767749907	27.89037339654813	4.755258185865357	7.810346915031218	23.964314270019532	19.497486114501953		9035.66806640625	10175.707717763427	106.61964905628095	119.66953254864598	29.984309683430677	33.767461267404215	89.17780914306641	55.313072204589844			
std	std			0.5477225575051661	0.5477225575051662	0.0	16.69730517179344		146.22157524635537	136.44866051951496	2.7730894199759444	3.619276490956599	0.4852273193707044	0.4527965019119698	2.764426338043626	3.5426131763791595		628.0115245053223	965.946972308678	9.261294972661215	7.114679019321788	2.084017683821406	3.2054357179363695	4.875112626974878	1.7759390143373597			
