group	fold	production_scene	capacity	n_samples	mean_y_true	mae	rmse	mae_pct_mean	rmse_pct_mean	nmae_capacity_pct	nrmse_capacity_pct	mape_1000_pct	mape_10pct_capacity_pct
all_folds	all	01_noche_o_muy_baja_<1000	30134.654296875	11833	117.7171859741211	5009.31982421875	6511.072415508831	4255.385297198658	5531.114562099898	16.623120261705548	21.606594027474994		
all_folds	all	02_baja_1000_a_10pct_capacity	30134.654296875	1396	1914.77978515625	5918.830078125	8148.015954819922	309.11283501157345	425.532795885195	19.641274194868696	27.038690653454353	340.4026794433594	
all_folds	all	03_media_10pct_a_50pct_capacity	30134.654296875	5319	8756.5556640625	5349.05322265625	6528.539193418387	61.08626985161675	74.55601772980164	17.75050468460477	21.664556457498183	76.10044860839844	76.10044860839844
all_folds	all	04_alta_mayor_50pct_capacity	30134.654296875	7404	23167.01953125	5822.21826171875	6790.622357339568	25.13149459672686	29.311592491125996	19.32067381414268	22.534263344921676	24.6779842376709	24.6779842376709
all_folds	all	99_global	30134.654296875	25952	8560.83203125	5359.79052734375	6692.712454603141	62.6082897991534	78.17829423790145	17.786135770933885	22.209355344412174	75.26709747314453	46.175750732421875
by_fold	1	01_noche_o_muy_baja_<1000	30134.654296875	2223	114.79312896728516	5070.021484375	7587.592767142949	4416.659368018362	6609.796976006582	16.824554993819085	25.17896071543715		
by_fold	1	02_baja_1000_a_10pct_capacity	30134.654296875	312	1877.8372802734375	6862.16162109375	9498.248259547652	365.4289800921691	505.80784391310965	22.771661999140186	31.519353651694725	397.6794128417969	
by_fold	1	03_media_10pct_a_50pct_capacity	30134.654296875	1045	8998.3603515625	6255.48828125	7339.367275181152	69.51809037258415	81.56338475494287	20.758453770942054	24.35523966154227	87.84676361083984	87.84676361083984
by_fold	1	04_alta_mayor_50pct_capacity	30134.654296875	1611	24059.97265625	4630.6162109375	5354.668803950437	19.24614078783924	22.255506606153467	15.366415573639749	17.76913964632978	18.60267448425293	18.60267448425293
by_fold	2	01_noche_o_muy_baja_<1000	30134.654296875	2237	116.80445861816406	7593.81591796875	9269.799566333675	6501.306549258598	7936.169283260685	25.19961185934772	30.761260690138275		
by_fold	2	02_baja_1000_a_10pct_capacity	30134.654296875	272	1898.21484375	9141.751953125	10663.651157084987	481.5973272585468	561.7726145275798	30.336342547898454	35.3866716108	546.6463623046875	
by_fold	2	03_media_10pct_a_50pct_capacity	30134.654296875	1074	8825.6787109375	6536.9951171875	7665.7756293802395	74.06790266550631	86.85763305523672	21.692616921327662	25.438405743301292	96.94073486328125	96.94073486328125
by_fold	2	04_alta_mayor_50pct_capacity	30134.654296875	1608	24026.611328125	5321.88671875	5975.239242072237	22.149967992033574	24.869255012577486	17.660354309430012	19.828464541874226	21.738174438476562	21.738174438476562
by_fold	3	01_noche_o_muy_baja_<1000	30134.654296875	2289	180.5631866455078	4577.53515625	5717.017054373723	2535.1430938338967	3166.2140885881154	15.190269352864936	18.971570066979613		
by_fold	3	02_baja_1000_a_10pct_capacity	30134.654296875	259	1929.7818603515625	5402.044921875	7604.1262482944085	279.9303399447889	394.0407154054764	17.92635438474301	25.23382605747352	296.58880615234375	
by_fold	3	03_media_10pct_a_50pct_capacity	30134.654296875	999	8817.505859375	5317.533203125	6517.002378394533	60.30654572768173	73.90981624883739	17.645907435136678	21.62627224520825	76.82621002197266	76.82621002197266
by_fold	3	04_alta_mayor_50pct_capacity	30134.654296875	1643	24054.630859375	6751.53271484375	7450.452335261262	28.067496667538435	30.973047887606803	22.404546766424634	24.72386861273495	27.26380157470703	27.26380157470703
by_fold	4	01_noche_o_muy_baja_<1000	30134.654296875	2479	91.75273895263672	4539.203125	5164.92942836589	4947.212668324988	5629.182831296247	15.0630668607694	17.139501178553424		
by_fold	4	02_baja_1000_a_10pct_capacity	30134.654296875	334	1943.6324462890625	4437.54736328125	6230.110432408081	228.31206444169874	320.53953638729905	14.72572845722484	20.67423893777388	246.6065216064453	
by_fold	4	03_media_10pct_a_50pct_capacity	30134.654296875	1163	8596.9560546875	4431.53076171875	5635.538306142546	51.54767261259237	65.55271738384383	14.705762734362295	18.701187843813955	62.80501937866211	62.80501937866211
by_fold	4	04_alta_mayor_50pct_capacity	30134.654296875	1214	20081.267578125	3238.33935546875	4201.294086350062	16.12617003817204	20.921458618113483	10.74623031532361	13.941736463808516	15.935890197753906	15.935890197753906
by_fold	5	01_noche_o_muy_baja_<1000	30134.654296875	2605	90.48238372802734	3564.912841796875	3942.8932270605555	3939.8971323659175	4357.636331633497	11.82994437791364	13.084249078209728		
by_fold	5	02_baja_1000_a_10pct_capacity	30134.654296875	219	1926.238525390625	3442.309326171875	5085.091346278846	178.70628589332173	263.9907404638599	11.423092139234683	16.874563405249273	197.5128631591797	
by_fold	5	03_media_10pct_a_50pct_capacity	30134.654296875	1038	8561.7568359375	4265.7138671875	5187.953353683897	49.822880384577175	60.594495418367295	14.15550955110794	17.21590466103968	56.909881591796875	56.909881591796875
by_fold	5	04_alta_mayor_50pct_capacity	30134.654296875	1328	22765.650390625	9085.8994140625	9709.055154854153	39.91056375795051	42.647826827967044	30.15099932639585	32.218903390111215	40.40007019042969	40.40007019042969
