fold	temporal_scene	eval_start	eval_end	train_samples	eval_samples	capacity	best_epoch	best_eval_loss	best_eval_mae	best_eval_rmse	best_eval_mae_pct_mean	best_eval_rmse_pct_mean	best_eval_nmae_capacity_pct	best_eval_nrmse_capacity_pct	best_eval_mape_1000_pct	best_eval_mape_10pct_capacity_pct	best_eval_mean_y_abs	baseline_mae	baseline_rmse	baseline_mae_pct_mean	baseline_rmse_pct_mean	baseline_nmae_capacity_pct	baseline_nrmse_capacity_pct	baseline_mape_1000_pct	baseline_mape_10pct_capacity_pct	model_out	predictions_out	plot_out
1	fold_01	2025-06-02 06:40:00	2025-06-20 07:10:00	20761.0	5191.0	30134.654296875	1.0	0.05486094835739094	5280.015625	7058.263525825598	55.93017025035844	74.76680159849354	17.521407655728588	23.422414129229114	82.83180236816406	45.846675872802734	9440.37109375	9424.0341796875	10804.482773367728	99.82694627255367	114.44976755755754	31.273078784463717	35.85401268229636	91.59883117675781	56.19467544555664	fold_01_best_image_only_lstm_cache_bluewhite_no_autoreg.pt	fold_01_eval_predictions_image_only_lstm_cache_bluewhite_no_autoreg.tsv	fold_01_eval_timeline_image_only_lstm_cache_bluewhite_no_autoreg.png
2	fold_02	2025-06-20 07:15:00	2025-07-08 07:45:00	20761.0	5191.0	30134.654296875	2.0	0.07290673729978132	6752.50390625	8136.732759529466	71.69441963466409	86.39140991490247	22.407769605474595	27.001248062677313	97.41270446777344	51.85284423828125	9418.451171875	9385.515625	10751.152868413694	99.65030824841614	114.14990291098344	31.145257325793477	35.6770406671916	86.74478149414062	55.940521240234375	fold_02_best_image_only_lstm_cache_bluewhite_no_autoreg.pt	fold_02_eval_predictions_image_only_lstm_cache_bluewhite_no_autoreg.tsv	fold_02_eval_timeline_image_only_lstm_cache_bluewhite_no_autoreg.png
3	fold_03	2025-07-08 07:50:00	2025-07-26 08:15:00	20762.0	5190.0	30134.654296875	5.0	0.04740499351281307	5449.34326171875	6561.1242938996365	57.433069102651444	69.15062730766024	18.08331102137068	21.7726881127023	68.37652587890625	46.00447082519531	9488.1630859375	9505.5927734375	10895.407840003054	100.18369928238094	114.83158269224151	31.543725970081034	36.1557419330771	85.96871185302734	56.98282241821289	fold_03_best_image_only_lstm_cache_bluewhite_no_autoreg.pt	fold_03_eval_predictions_image_only_lstm_cache_bluewhite_no_autoreg.tsv	fold_03_eval_timeline_image_only_lstm_cache_bluewhite_no_autoreg.png
4	fold_04	2025-07-26 08:20:00	2025-08-13 08:45:00	20762.0	5190.0	30134.654296875	8.0	0.029165812496585782	4204.24658203125	5146.396409139117	61.8945861573112	75.76484150728399	13.951534139441698	17.07800049218685	64.4614486694336	38.86764907836914	6792.591796875	8011.03662109375	8649.382405698108	117.93784847750321	127.33552470615625	26.58413314508972	28.70244443652058	96.61072540283203	52.38119888305664	fold_04_best_image_only_lstm_cache_bluewhite_no_autoreg.pt	fold_04_eval_predictions_image_only_lstm_cache_bluewhite_no_autoreg.tsv	fold_04_eval_timeline_image_only_lstm_cache_bluewhite_no_autoreg.png
5	fold_05	2025-08-13 08:50:00	2025-08-31 09:15:00	20762.0	5190.0	30134.654296875	18.0	0.04228363964412368	5112.59130859375	6196.584865875719	66.70703054596612	80.85054153142137	16.965820341678622	20.562986403724274	60.34007263183594	47.6431770324707	7664.24658203125	8852.162109375	9778.112701334547	115.49944296062715	127.58087304053127	29.37535643238814	32.448066617935446	84.96599578857422	55.06614303588867	fold_05_best_image_only_lstm_cache_bluewhite_no_autoreg.pt	fold_05_eval_predictions_image_only_lstm_cache_bluewhite_no_autoreg.tsv	fold_05_eval_timeline_image_only_lstm_cache_bluewhite_no_autoreg.png
mean	mean			20761.6	5190.4	30134.654296875	6.8		5359.74013671875	6619.820370853908	62.731855138190255	77.38484437195231	17.785968552738833	21.967467440103967	74.68451080322265	46.04296340942383		9035.66826171875	10175.707717763427	106.61964904829622	119.669530181494	29.984310331563215	33.767461267404215	89.17780914306641	55.313072204589844			
std	std			0.5477225575051661	0.5477225575051662	0.0	6.833739825307955		915.2081093480011	1100.7732836667813	6.541610122633462	6.527062271567525	3.0370619165951713	3.652848553769314	15.272636697267952	4.68616434598761		628.0117071891544	965.946972308678	9.261295128363656	7.114681314889727	2.084018290046486	3.2054357179363695	4.875112626974878	1.7759390143373597			
