fold	temporal_scene	eval_start	eval_end	train_samples	eval_samples	capacity	best_epoch	best_eval_loss	best_eval_mae	best_eval_rmse	best_eval_mae_pct_mean	best_eval_rmse_pct_mean	best_eval_nmae_capacity_pct	best_eval_nrmse_capacity_pct	best_eval_mape_1000_pct	best_eval_mape_10pct_capacity_pct	best_eval_mean_y_abs	baseline_mae	baseline_rmse	baseline_mae_pct_mean	baseline_rmse_pct_mean	baseline_nmae_capacity_pct	baseline_nrmse_capacity_pct	baseline_mape_1000_pct	baseline_mape_10pct_capacity_pct	model_out	predictions_out	plot_out
1	fold_01	2025-06-02 06:40:00	2025-06-20 07:10:00	20761.0	5191.0	30134.654296875	12.0	0.007091975675062805	1701.7906494140625	2537.7557999145624	18.0267346750885	26.88194960465785	5.647287779208206	8.42138680242876	19.011320114135742	18.167375564575195	9440.37109375	9424.0341796875	10804.482773367728	99.82694627255367	114.44976755755754	31.273078784463717	35.85401268229636	91.59883117675781	56.19467544555664	fold_01_best_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.pt	fold_01_eval_predictions_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.tsv	fold_01_eval_timeline_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.png
2	fold_02	2025-06-20 07:15:00	2025-07-08 07:45:00	20761.0	5191.0	30134.654296875	28.0	0.006840683461038281	1627.802734375	2492.389917328346	17.283125480714695	26.46284268873231	5.4017634260493415	8.27084290655629	21.674560546875	18.583839416503906	9418.451171875	9385.515625	10751.152868413694	99.65030824841614	114.14990291098344	31.145257325793477	35.6770406671916	86.74478149414062	55.940521240234375	fold_02_best_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.pt	fold_02_eval_predictions_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.tsv	fold_02_eval_timeline_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.png
3	fold_03	2025-07-08 07:50:00	2025-07-26 08:15:00	20762.0	5190.0	30134.654296875	13.0	0.006866447679210186	1595.345703125	2497.078893427278	16.814062834664778	26.317832764997718	5.2940567607256055	8.28640298583491	23.08414649963379	19.788373947143555	9488.1630859375	9505.5927734375	10895.407840003054	100.18369928238094	114.83158269224151	31.543725970081034	36.1557419330771	85.96871185302734	56.98282241821289	fold_03_best_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.pt	fold_03_eval_predictions_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.tsv	fold_03_eval_timeline_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.png
4	fold_04	2025-07-26 08:20:00	2025-08-13 08:45:00	20762.0	5190.0	30134.654296875	18.0	0.006004956478422583	1600.1875	2335.1842539722643	23.55783400286445	34.3783981697029	5.310123966366328	7.749165565222448	22.28391456604004	20.58066177368164	6792.591796875	8011.03662109375	8649.382405698108	117.93784847750321	127.33552470615625	26.58413314508972	28.70244443652058	96.61072540283203	52.38119888305664	fold_04_best_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.pt	fold_04_eval_predictions_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.tsv	fold_04_eval_timeline_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.png
5	fold_05	2025-08-13 08:50:00	2025-08-31 09:15:00	20762.0	5190.0	30134.654296875	9.0	0.009571494308128946	2240.19677734375	2948.1941930612375	29.2291845436689	38.466849435315005	7.433955456313501	9.783401408945211	22.23412322998047	21.08940315246582	7664.24658203125	8852.162109375	9778.112701334547	115.49944296062715	127.58087304053127	29.37535643238814	32.448066617935446	84.96599578857422	55.06614303588867	fold_05_best_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.pt	fold_05_eval_predictions_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.tsv	fold_05_eval_timeline_multimodal_lstm_weather_img_cache_bluewhite_no_autoreg.png
mean	mean			20761.6	5190.4	30134.654296875	16.0		1753.0646728515626	2562.1206115407376	20.982188307400264	30.501574532681154	5.8174374777325975	8.502239933797522	21.657612991333007	19.641930770874023		9035.66826171875	10175.707717763427	106.61964904829622	119.669530181494	29.984310331563215	33.767461267404215	89.17780914306641	55.313072204589844			
std	std			0.5477225575051661	0.5477225575051662	0.0	7.44983221287567		275.6192887517389	229.25932892173864	5.34878349708068	5.598930712481006	0.9146256865482639	0.760783006379181	1.5622714856575526	1.2541638813961775		628.0117071891544	965.946972308678	9.261295128363656	7.114681314889727	2.084018290046486	3.2054357179363695	4.875112626974878	1.7759390143373597			
